Nombre;probabilidad;daño crítico;Tasa de perforación;Maestría de anomalía;Perforación plana;elemento;daño elemental;Tipo;ataque;puntos de vida;defensa;tasa de anomalía;Impacto;Recuperación de energía;nivel;Aturdimiento;Facción;Rango
Nicole;5;50;0;93;0;Etereo;0;Soporte;649;8145;622;90;88;1,1;60;0;Liebres Astutas;A
Anby;5;50;0;93;0;Electrico;0;Aturdidor;658;7500;612;94;136;1,2;60;0;Liebres Astutas;A
Billy;19,04;50;0;91;0;Físico;0;Atacante;787;6907;606;92;91;1,2;60;0;Liebres Astutas;A
Nekomata;19,04;50;0;96;0;Físico;0;Atacante;910;7560;587;97;92;1,2;60;0;Liebres Astutas;S
Starlight - Billy;19,04;50;0;89;0;Físico;0;Ruptura;859;8497;445;90;95;2;60;0;Liebres Astutas;S
Koleda;5;50;0;96;0;Fuego;0;Aturdidor;735;8127;594;97;134;1,2;60;0;Construcciones Belobog;S
Anton;19,04;50;0;90;0;Electrico;0;Atacante;791;7219;622;86;95;1,2;60;0;Construcciones Belobog;A
Ben;5;50;0;90;0;Fuego;0;Defensor;1232;8577;724;86;95;1,1;60;0;Construcciones Belobog;A
Grace;5;50;0;116;0;Electrico;0;Anomalo;825;7482;600;151;83;1,2;60;0;Construcciones Belobog;S
Lycaon;5;50;0;90;0;Hielo;0;Aturdidor;728;8416;606;91;137;1,2;60;0;Servicios Domésticos Victoria;S
Rina;5;50;14,04;92;0;Electrico;0;Soporte;717;8609;600;93;83;1,2;60;0;Servicios Domésticos Victoria;S
Ellen;19,04;50;0;93;0;Hielo;0;Atacante;938;7673;606;94;93;1,2;60;0;Servicios Domésticos Victoria;S
Corin;5;78,8;0;96;0;Físico;0;Atacante;807;6976;604;93;93;1,2;60;0;Servicios Domésticos Victoria;A
Zhu Yuan;5;78,8;0;92;0;Etereo;0;Atacante;919;7482;600;93;90;1,2;60;0;N.E.P.S.;S
Cissia;5;50;0;93;0;Electrico;0;Atacante;938;7673;606;94;90;1,2;60;0;m_o_d_;S
Qingyi;5;50;0;93;0;Electrico;0;Aturdidor;758;8250;612;94;136;1,2;60;0;N.E.P.S.;S
Seth;5;50;0;90;0;Electrico;0;Defensor;643;8701;746;86;94;1,1;60;0;N.E.P.S.;A
Jane;5;50;0;114;0;Físico;0;Anomalo;880;7788;606;148;86;1,2;60;0;R.O.V.E.R.;S
Caesar;5;50;0;90;0;Físico;0;Defensor;711;9526;753;87;123;1,2;60;0;Hijos de Calidon;S
Lighter;5;50;0;90;0;Fuego;0;Aturdidor;797;8253;612;91;137;1,2;60;0;Hijos de Calidon;S
Lucy;5;50;0;93;0;Fuego;0;Soporte;658;8025;612;94;86;1,1;60;0;Hijos de Calidon;A
