Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Celestial Overture;111,2;60,6;elemental
2do Basico - Celestial Overture;176,0;105,0;elemental
3er Basico - Celestial Overture;133,2;90,7;elemental
4to Basico - Celestial Overture;224,1;157,9;elemental
5to Basico - Celestial Overture;261,2;197,7;elemental
5to Basico (Reforzado) - Celestial Overture;437,2;316,5;elemental
Basico (Carga Nivel 1) - Starshine Waltz;378,1;83,9;elemental
Basico (Carga Nivel 2) - Starshine Waltz;609,1;117,2;elemental
Basico (Carga Nivel 3) - Starshine Waltz;1931,5;296,2;elemental
Ataque Especial - Piercing Dawn;125,1;84,7;elemental
Ataque Especial Ex - Aurora Thrust - Northern Cross;920,9;517,9;elemental
Ataque Especial Ex - Aurora Thrust - Southern Cross;1064,4;608,8;elemental
Asistencia Rapida - Intertwined Stab;327,2;220,6;elemental
Asistencia Defensiva Ligera - Parry Guard;0,0;366,3;elemental
Asistencia Defensiva Pesada - Parry Guard;0,0;463,7;elemental
Asistencia Defensiva en Cadena - Parry Guard;0,0;226,1;elemental
Asistencia Seguimiento - Cross Riposte;666,0;388,2;elemental
Dash - Blade-Dancer's Gale;151,2;51,5;elemental
Contraataque - Ceremony of Swordlight;568,9;329,5;elemental
Ataque en Cadena - Starfall Intermission;1332,9;308,1;elemental
Definitiva - Starfall Finale;4524,7;364,7;elemental
