Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Turbo Volt;63,1;24,4;normal
2do Basico - Turbo Volt;67,8;44,1;normal
3er Basico - Turbo Volt;228,0;134,7;normal
4to Basico - Turbo Volt;478,9;282,0;normal
Basico - Thunderbolt;657,5;213,9;normal
Ataque Especial - Fork Lightning;186,9;140,7;elemental
Ataque Especial Ex - Lightning Bolt;1166,0;722,7;elemental
Asistencia Rapida - Thunderfall;124,4;93,6;elemental
Asistencia Defensiva Ligera - Flash;0,0;371,0;elemental
Asistencia Defensiva Pesada - Flash;0,0;467,9;elemental
Asistencia Defensiva en Cadena - Flash;0,0;227,6;elemental
Asistencia Seguimiento - Lightning Whirl;670,7;437,7;elemental
Dash - Taser Blast;113,9;42,7;normal
Contraataque - Thunderclap;360,6;243,1;elemental
Ataque en Cadena - Electro Engine;1085,8;216,0;elemental
Definitiva - Overdrive Engine;3026,2;1487,7;elemental
