Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Enthusiastic Drills;136,0;51,5;normal
2do Basico - Enthusiastic Drills;184,7;113,8;normal
3er Basico - Enthusiastic Drills;219,8;140,6;normal
4to Basico - Enthusiastic Drills;459,0;272,7;normal
1er Basico (Burst Mode) - Enthusiastic Drills;481,8;249,6;elemental
2do Basico (Burst Mode) - Enthusiastic Drills;938,9;485,0;elemental
3er Basico (Burst Mode) - Enthusiastic Drills;914,5;473,2;elemental
Ataque Especial - Spin, Bro!;89,3;67,3;elemental
Ataque Especial (Burst Mode) - Explosive Drill;463,5;177,8;elemental
Ataque Especial Ex - Smash the Horizon, Bro!;390,9;293,0;elemental
Asistencia Rapida - Shoulder-To-Shoulder;527,4;197,7;normal
Asistencia Rapida (Burst Mode) - Protective Drill;731,7;378,3;elemental
Asistencia Defensiva Ligera - Iron Wrist;0,0;371,0;elemental
Asistencia Defensiva Pesada - Iron Wrist;0,0;467,9;elemental
Asistencia Defensiva en Cadena - Iron Wrist;0,0;227,6;elemental
Asistencia Seguimiento - Limit Burst;652,5;424,6;elemental
Dash - Fire With Fire;137,7;51,8;normal
Contraataque - Retaliation;542,9;348,3;normal
Contraataque (Burst Mode) - Overload Drill;931,8;527,8;elemental
Ataque en Cadena - Go Go Go!;1282,0;362,7;elemental
Definitiva - Go Go Go Go Go!;3633,6;365,5;elemental
