Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Sweet Melody;37,3;52,0;elemental
2do Basico - Sweet Melody;144,0;102,10;elemental
3er Basico - Sweet Melody;188,4;124,10;elemental
4to Basico - Sweet Melody;388,9;249,20;elemental
Basico cargado (1 carga) - Perfect Pitch;363,0;232,40;elemental
Basico cargado (2 cargas) - Perfect Pitch;415,0;265,20;elemental
Basico cargado (3 cargas) - Perfect Pitch;550,0;165,0;elemental
Basico cargado (4 cargas) - Perfect Pitch;633,0;190,30;elemental
Basico cargado (mejorado) - Perfect Pitch;642,10;165,00;elemental
Basico cargado (coordinado) - Perfect Pitch;725,20;190,00;elemental
Ataque Especial - Full-Sugar Electronica;109,30;102,0;elemental
Ataque Especial - Full-Sugar Electronica - No Ice;129,70;101,20;elemental
Ataque Especial Ex - Fall Into Delusion;1022,70;605,1;elemental
Ataque Especial Ex - Instantly Hooked;1089,0;651,40;elemental
Asistencia Rapida - Shatter Fantasy;100,2;74,9;elemental
Asistencia Defensiva - Clutch Save;407,70;514,40;elemental
Asistencia Seguimiento - Encore Song;727,0;474,2;elemental
Dash - Silky-Smooth Combo;92,0;35,0;elemental
Contraataque - Slide-Shift Variation;483,2;316,5;elemental
Ataque en Cadena - Dream Collab;1632,40;346,5;elemental
Definitiva - 100% Energy;3245,0;297,0;elemental
