Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Towering Peaks;79,2;55,8;elemental
2do Basico - Towering Peaks;100,4;68,6;elemental
3er Basico - Towering Peaks;203,6;148,1;elemental
4to Basico - Towering Peaks;232,9;171,2;elemental
1er Basico - Majestic Summit;105,6;74,8;elemental
2do Basico - Majestic Summit;140,8;97,3;elemental
3er Basico - Majestic Summit;271,9;197,9;elemental
4to Basico - Majestic Summit;184,8;138,0;elemental
Basico - Immolate;221,7;160,2;elemental
Basico - Toppling Mountain;1739,9;303,0;elemental
Basico - Crushing Peaks;756,7;229,2;elemental
Ataque Especial Ex - Earth Shaker;510,0;371,9;elemental
Ataque Especial Ex - Mountain Tremor;342,9;236,3;elemental
Ataque Especial Ex - One's Path;325,2;222,3;elemental
Ataque Especial Ex - Lion's Roar;307,7;207,4;elemental
Ataque Especial Ex (Wrath) - Mountain Tremor;650,6;332,3;elemental
Ataque Especial Ex (Wrath) - Lion's Roar;600,4;303,3;elemental
Asistencia Rapida - Batholith;147,1;69,0;elemental
Asistencia Defensiva Ligera - Iron Bastion;0,0;407,7;elemental
Asistencia Defensiva Pesada - Iron Bastion;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Iron Bastion;0,0;250,4;elemental
Asistencia Seguimiento - Lofty Ascent;483,6;388,4;elemental
Asistencia Seguimiento - Pierce Heavens;443,8;358,3;elemental
Esquiva - Immovable Mountain;0,0;143,7;elemental
Dash - Scattering Sands;80,4;38,0;elemental
Contraataque - Stoneburst;390,7;319,5;elemental
Ataque en Cadena - Blazing Wrath;1121,9;394,3;elemental
Definitiva - The World Trembles;3197,8;401,9;elemental
