Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Debt Reconciliation;131,9;71,3;normal
2do Basico - Debt Reconciliation;378,2;236,1;normal
3er Basico - Debt Reconciliation;697,0;391,0;normal
Ataque Especial - Fiscal Fist;83,5;62,6;normal
Ataque Especial (Contraataque de Bloqueo) - Fiscal Fist;467,7;335,6;elemental
Ataque Especial Ex (Activo) - Cashflow Counter;877,4;371,4;elemental
Ataque Especial Ex (Seguimiento) - Cashflow Counter;877,4;371,4;elemental
Ataque Especial Ex (Contraataque de Bloqueo) - Cashflow Counter;1001,0;552,4;elemental
Ataque Especial Ex (Seguimiento de Bloqueo) - Cashflow Counter;1103,4;552,4;elemental
Asistencia Rapida - Joint Account;193,5;145,1;elemental
Asistencia Defensiva Ligera - Risk Allocation;0,0;338,4;elemental
Asistencia Defensiva Pesada - Risk Allocation;0,0;402,6;elemental
Asistencia Defensiva en Cadena - Risk Allocation;0,0;163,4;elemental
Asistencia Seguimiento - Don't Break Contract;652,6;424,7;elemental
Dash - Incoming Expense;277,0;104,4;normal
Contraataque - Accounts Settled;452,3;295,7;elemental
Ataque en Cadena - Signed and Sealed;1255,4;493,3;elemental
Definitiva - Complete Payback;3286,4;165,0;elemental
