Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico (Standing Fire) - Full Firepower;136,2;81,9;elemental
1er Basico (Standing Bullet) - Full Firepower;15,3;9,4;elemental
Basico (Crouching Fire) - Full Firepower;124,5;82,2;elemental
Basico (Crouching Bullet) - Full Firepower;25,9;14,4;elemental
Basico (Rolling Shot) - Full Firepower;124,5;82,2;elemental
Basico (Finishing Shot) - Full Firepower;99,0;83,8;elemental
1er Especial - Stand Still;48,4;36,3;elemental
2do Especial - Stand Still;103,4;78,1;elemental
3er Especial - Stand Still;100,7;75,4;elemental
Ataque Especial Ex - Clearance Time;1088,3;659,5;elemental
Asistencia Rapida - Power of Teamwork;186,9;140,7;elemental
Asistencia Seguimiento - Fatal Shot;778,2;512,8;elemental
Dash (360-degree Shot) - Starlight Sanction;126,8;94,9;elemental
Dash (Straight Shot) - Starlight Sanction;78,6;29,4;elemental
Contraataque - Fair Fight;443,6;290,2;elemental
Ataque en Cadena - Starlight Mirage;1471,1;295,6;elemental
Definitiva - Starlight, Shine Bright;3196,0;286,3;elemental
