Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Direct Flame Blend;89,9;28,6;elemental
2do Basico - Direct Flame Blend;87,5;46,2;elemental
3er Basico - Direct Flame Blend;144,3;72,0;elemental
4to Basico - Direct Flame Blend;133,7;45,8;elemental
5to Basico - Direct Flame Blend;193,1;78,4;elemental
Basico (Spray Continuo) - Mixed Flame Blend;250,8;144,9;elemental
Basico (Finishing Move) - Mixed Flame Blend;466,0;269,3;elemental
Ataque Especial - Intense Heat Aging Method;116,1;87,5;elemental
Ataque Especial (Cargado) - Intense Heat Aging Method;125,1;94,3;elemental
Ataque Especial Ex (Spray Continuo) - Intense Heat Stirring Method;1088,3;568,9;elemental
Ataque Especial Ex (Fire Blast) - Intense Heat Stirring Method;193,5;98,7;elemental
Ataque Especial Ex (Spray Continuo) - Intense Heat Stirring Method - Double Shot;1916,2;879,4;elemental
Ataque Especial Ex (Fire Blast) - Intense Heat Stirring Method - Double Shot;574,2;312,3;elemental
Ataque Especial Ex - Intense Heat Tossing Method;400,1;300,0;elemental
Asistencia Rapida - Energizing Specialty Drink;169,1;127,3;elemental
Asistencia Defensiva Ligera - Smoky Cauldron;0,0;407,7;elemental
Asistencia Defensiva Pesada - Smoky Cauldron;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Smoky Cauldron;0,0;250,4;elemental
Asistencia Seguimiento - Scorching Dew;655,4;424,3;elemental
Dash - Dangerous Fermentation;136,1;51,6;elemental
Contraataque - Fluttering Steps;439,7;292,3;elemental
Ataque en Cadena - Fuel-Fed Flame;1361,8;363,0;elemental
Definitiva - Glorious Inferno;4025,2;160,3;elemental
