Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Tongue Flick;155,80;91,10;elemental
2do Basico - Tongue Flick;278,4;147,9;elemental
3er Basico - Tongue Flick;270,4;131,4;elemental
4to Basico - Tongue Flick;501,0;239,4;elemental
Basico - Serpent's Kiss;1009,1;269,0;elemental
Basico - Corrode Bone;254,4;233,20;elemental
Ataque Especial - Bared Fangs;104,8;66,0;elemental
Ataque Especial Ex - Venomous Bite;1339,6;544,7;elemental
Ataque Especial Ex - Venomous Bite - Additional;401,7;163,3;elemental
Asistencia Rapida - Alarm System;149,60;95,2;elemental
Asistencia Defensiva - Extra Prison Rations;0,0;407,7;elemental
Asistencia Defensiva Pesada - Extra Prison Rations;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Extra Prison Rations;0,0;250,4;elemental
Dash - Bite Mark;294,1;94,3;normal
Contraataque - Bite Back;649,0;355,4;elemental
Ataque en Cadena - Gang Operation;1475,9;388,4;elemental
Definitiva - Ophidiophobia;3622,7;182,70;elemental
