Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Wipeout;164,5;61,9;elemental
2do Basico - Wipeout;153,6;105,4;elemental
3er Basico - Wipeout;358,5;186,5;elemental
4to Basico - Wipeout;467,7;279,9;elemental
5to Basico - Wipeout;842,5;513,6;elemental
Ataque Especial (Giro) - Clean Sweep;133,8;100,8;elemental
Ataque Especial (Extendido) - Clean Sweep;76,0;57,3;elemental
Ataque Especial (Explosion) - Clean Sweep;50,3;38,2;elemental
Ataque Especial Ex (Giro) - Skirt Alert;690,5;309,8;elemental
Ataque Especial Ex (Extendido) - Skirt Alert;2071,4;929,2;elemental
Ataque Especial Ex (Explosion) - Skirt Alert;690,5;309,8;elemental
Asistencia Rapida - Emergency Measures;430,6;322,8;elemental
Asistencia Defensiva Ligera - P—Please Allow Me!;0,0;371,0;elemental
Asistencia Defensiva Pesada - P—Please Allow Me!;0,0;467,9;elemental
Asistencia Defensiva en Cadena - P—Please Allow Me!;0,0;227,6;elemental
Asistencia Seguimiento - Quick Sweep;1095,3;733,9;elemental
Dash - Oopsy-Daisy!;193,5;72,6;elemental
Contraataque - Nope!;544,0;197,8;elemental
Ataque en Cadena - Sorry...;1374,8;433,5;elemental
Definitiva - Very, Very Sorry!;4058,3;610,3;elemental
