Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Cloud Piercer;85,3;40,8;normal
2do Basico - Cloud Piercer;80,5;67,4;normal
3er Basico - Cloud Piercer;142,4;100,2;normal
4to Basico - Cloud Piercer;180,3;134,7;elemental
5to Basico - Cloud Piercer;266,0;173,7;elemental
Basico (Drift) - Cloud Piercer;139,9;74,0;normal
Basico - Falling Feather;211,0;79,1;elemental
Basico - Ha-Oto no Ya;32,4;0,0;elemental
Ataque Especial - Nowhere to Hide;105,1;78,7;elemental
Ataque Especial Ex - Nowhere to Run;899,2;674,5;elemental
Ataque Especial Ex (Patrol) - Nowhere to Run;1026,8;698,9;elemental
Asistencia Rapida - Braced Bow;169,0;127,2;elemental
Asistencia Defensiva Ligera - Yugamae;0,0;371,9;elemental
Asistencia Defensiva Pesada - Yugamae;0,0;443,7;elemental
Asistencia Defensiva en Cadena - Yugamae;0,0;179,7;elemental
Asistencia Seguimiento - Yugamae - Slash;615,1;395,3;elemental
Dash - Hiten no Tsuru;162,1;61,3;normal
Contraataque - Hidden Edge;439,6;292,2;elemental
1er Golpe Dash - Hiten no Tsuru - Slash;325,1;99,0;elemental
2do Golpe Dash - Hiten no Tsuru - Slash;333,8;69,0;elemental
3er Golpe Dash - Hiten no Tsuru - Slash;379,9;74,8;elemental
Ataque en Cadena - Kai - Hanare;1035,7;275,8;elemental
Definitiva - Zanshin;3908,6;160,8;elemental
Definitiva (Scattering Blossoms) - Zanshin;330,0;48,6;elemental
