Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Dark Abyss Quartet;87,1;32,6;normal
2do Basico - Dark Abyss Quartet;148,9;82,4;normal
3er Basico - Dark Abyss Quartet;340,1;193,0;normal
Basico (Slash) - Dark Abyss Quartet;298,7;189,6;elemental
Basico (Shot) - Dark Abyss Quartet;118,0;75,4;elemental
Basico (Charged Shot) - Dark Abyss Quartet;236,8;144,1;elemental
Basico (Slash) - Dark Abyss Concerto;287,5;166,4;elemental
Basico (Shot) - Dark Abyss Concerto;173,6;100,8;elemental
Basico (Charged Shot) - Dark Abyss Concerto;342,2;197,2;elemental
Ataque Especial - Soul Hunter - Judgment;171,1;128,2;elemental
Ataque Especial Ex - Soul Hunter - Punishment;747,2;684,0;elemental
Asistencia Rapida - Elegy;209,0;78,7;elemental
Asistencia Rapida (ALT Shot) - Elegy;250,1;94,3;elemental
Asistencia Rapida (ALT Charged Shot) - Elegy;327,1;123,4;elemental
Asistencia Defensiva Ligera - The End Has Not Come;0,0;407,7;elemental
Asistencia Defensiva Pesada - The End Has Not Come;0,0;514,4;elemental
Asistencia Defensiva en Cadena - The End Has Not Come;0,0;250,4;elemental
Asistencia Seguimiento - Ace Reversal;584,3;374,5;elemental
Dash - Phantasm - Shatter;187,0;71,0;normal
Contraataque - Phantasm - Slash;492,3;322,3;elemental
Contraataque (ALT Shot) - Phantasm - Slash;324,9;187,4;elemental
Contraataque (ALT Charged Shot) - Phantasm - Slash;424,4;245,7;elemental
Ataque en Cadena - Trick of Fate;1402,9;394,2;elemental
Definitiva - Blaspheme;3055,0;397,3;elemental
