Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Tiger Seven Forms - Flaming Claw;85,4;73,8;normal
2do Basico - Tiger Seven Forms - Flaming Claw;91,4;58,9;normal
3er Basico - Tiger Seven Forms - Flaming Claw;63,4;73,8;normal
4to Basico - Tiger Seven Forms - Flaming Claw;437,3;201,0;elemental
Basico - Hu Wei;184,8;104,5;elemental
Ataque Especial - Tiger Seven Forms - Mountain-Descending Tiger;133,2;100,2;elemental
Ataque Especial Ex - Tiger Seven Forms Alt - Mountain-Descending Savage Tiger;1053,4;516,8;elemental
Asistencia Rapida - Decisive Stomp;151,2;57,5;elemental
Asistencia Defensiva Ligera - Steadfast Crouching Tiger;0,0;302,5;elemental
Asistencia Defensiva Pesada - Steadfast Crouching Tiger;0,0;409,2;elemental
Asistencia Defensiva en Cadena - Steadfast Crouching Tiger;0,0;206,1;elemental
Asistencia Seguimiento - Feral Blazing Maw;815,3;385,0;elemental
Dash - Tiger Seven Forms - Tiger Charge;74,2;28,3;normal
Dash - Tiger Seven Forms - Mountain King's Game;37,1;28,3;normal
Dash (Momentum) - Tiger Seven Forms - Mountain King's Game;39,0;13,1;elemental
Dash (Hu Wei) - Tiger Seven Forms - Mountain King's Game;184,8;104,5;elemental
Contraataque - Tiger Seven Forms - Reignited Mountain;415,7;278,8;elemental
Ataque en Cadena - Tiger Cauldron Collapse;1336,9;240,8;elemental
Ataque en Cadena - Suppressing Tiger Cauldron;709,8;332,7;elemental
Definitiva - Tiger Seven Forms - Raging Tiger Explosion;3328,1;1636,3;elemental
