Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Orbital Combo;82,7;100,2;elemental
2do Basico - Orbital Combo;56,4;55,4;elemental
3er Basico - Orbital Combo;167,1;161,6;elemental
4to Basico - Orbital Combo;160,4;168,0;elemental
Basico (Whim) - Orbital Combo;346,7;312,1;elemental
Basico (Harmony) - Orbital Combo;825,0;312,1;elemental
Basico (Aftershock) - Orbital Combo;1100,0;0,0;aftershock
Especial (Whim) - Symphony of the Reaper - Storm;92,1;69,0;elemental
Especial (Harmony) - Symphony of the Reaper - Storm;367,1;69,0;elemental
Especial (Aftershock) - Symphony of the Reaper - Storm;1100,0;0,0;aftershock
Ataque Especial Ex - Symphony of the Reaper - Daybreak;1277,2;663,0;elemental
Asistencia Rapida (Whim) - Crushing Mist;213,1;80,7;elemental
Asistencia Rapida (Harmony) - Crushing Mist;488,1;80,7;elemental
Asistencia Rapida (Aftershock) - Crushing Mist;1100,0;0,0;aftershock
Asistencia Defensiva Ligera - Voice of Illusory Dreams;0,0;407,7;elemental
Asistencia Defensiva Pesada - Voice of Illusory Dreams;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Voice of Illusory Dreams;0,0;250,4;elemental
Asistencia Seguimiento - Harmony of Painted Dreams;655,5;424,3;elemental
Dash - Refraction;173,2;65,2;elemental
Contraataque (Whim) - Stardust Echo;496,9;325,3;elemental
Contraataque (Harmony) - Stardust Echo;771,9;325,3;elemental
Ataque en Cadena - Stage of Brilliance;1233,8;266,9;elemental
Definitiva (Carga) - Charge, Great Armor!;186,5;107,8;elemental
Definitiva - Charge, Great Armor!;3805,7;292,3;elemental
