Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Kazahana;54,4;21,2;normal
2do Basico - Kazahana;59,3;41,2;normal
3er Basico - Kazahana;126,6;70,6;normal
4to Basico - Kazahana;193,3;123,9;normal
5to Basico - Kazahana;258,8;197,0;elemental
Basico Cargado Nivel 1 - Shimotsuki;910,1;66,0;elemental
Basico Cargado Nivel 2 - Shimotsuki;1717,2;94,3;elemental
Basico Cargado Nivel 3 - Shimotsuki;4282,8;567,0;elemental
Ataque Especial - Miyuki;72,1;54,5;elemental
Ataque Especial Ex (Corte) - Hisetsu;788,3;483,4;elemental
Ataque Especial Ex (Seguimiento) - Hisetsu;967,2;608,5;elemental
Asistencia Rapida - Dancing Petals;209,0;157,3;elemental
Asistencia Defensiva Ligera - Drifting Petals;0,0;407,7;elemental
Asistencia Defensiva Pesada - Drifting Petals;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Drifting Petals;0,0;193,2;elemental
Asistencia Seguimiento - Falling Petals;676,6;438,2;elemental
Dash - Fuyubachi;52,2;19,5;normal
Contraataque - Kan Suzume;492,3;322,3;elemental
Ataque en Cadena - Spring's Call;1258,3;284,7;elemental
Definitiva - Lingering Snow;4776,1;556,3;elemental
