Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Shooting Star Step ;230,4;124,5;elemental
2do Basico - Shooting Star Step;274.4;127;elemental
3er Basico - Shooting Star Step;527.8;253.6;elemental
1er Basico - Adorable Explosive Impact;208,5;66;elemental
2do Basico - Adorable Explosive Impact;609,1;316.4;elemental
3er Basico - Adorable Explosive Impact;1022,3;616,5;elemental
3er Basico (coordinado) - Adorable Explosive Impact;1175,3;648,1;elemental
Ataque Especial - The Weight of Love;167,1;107;elemental
Ataque Especial Ex - The Unbearable Weight of Love;1066,5;622,2;elemental
Asistencia Rapida - Emergency Save;149,6;95,2;elemental
Asistencia Defensiva Ligera - Perfected Choreography;0,0;407,7;elemental
Asistencia Defensiva Pesada - Perfected Choreography;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Perfected Choreography;0,0;250,4;elemental
Asistencia Seguimiento - Improvised Performance;1072,6;599,4;elemental
Dash - Blade-Spinning Meteor;382,1;38,9;elemental
Contraataque - Asteroid Waltz;710,6;385,4;elemental
Ataque en Cadena - Comet Gravity;1596,3;355,3;elemental
Definitiva - Meteor Shower;4203,8;1794,5;elemental
