Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - High-Pressure Flamethrower;29,9;18,3;normal
2do Basico - High-Pressure Flamethrower;89,5;48,9;normal
3er Basico - High-Pressure Flamethrower;83,3;38,6;normal
4to Basico - High-Pressure Flamethrower;173,6;81,1;normal
5to Basico - High-Pressure Flamethrower;364,2;177,6;elemental
Fire Blade - High-Pressure Flamethrower;316,8;156,4;elemental
Ataque Especial - Blazing Chamber;79,1;59,3;elemental
Ataque Especial - Corrosive Flash;990,0;82,5;aftershock
Ataque Especial Ex - Watch Your Step;562,5;421,7;elemental
Ataque Especial Ex - Crimson Vortex;1357,1;82,5;elemental
Ataque Especial Ex (Laser) - Heat Charge;778,8;49,5;elemental
Ataque Especial Ex - Fiery Eruption;519,2;33,0;elemental
Asistencia Defensiva Ligera - Blazing Gunblade;0,0;407,7;elemental
Asistencia Defensiva Pesada - Blazing Gunblade;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Blazing Gunblade;0,0;250,4;elemental
Asistencia Seguimiento - Boiling Pierce;722,8;470,6;elemental
Dash - Rush Command;125,0;47,7;normal
Contraataque - Counter Strike Opportunity;516,3;335,9;elemental
Ataque en Cadena - Overheated Barrel;1253,3;500,9;elemental
Definitiva - Dance With Fire;1398,3;45,1;elemental
Definitiva (Duracion Extendida) - Dance With Fire;932,2;29,7;elemental
