Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Unyielding Strikes;100,3;38,1;elemental
2do Basico - Unyielding Strikes;100,4;71,7;elemental
3er Basico - Unyielding Strikes;219,4;127,2;elemental
4to Basico - Unyielding Strikes;423,6;250,1;elemental
Ataque Especial - Sonic Pressure-Point Strike;125,2;94,4;elemental
1er Golpe Especial - Touch of Death;195,2;62,6;elemental
2do Golpe Especial - Touch of Death;195,2;62,6;elemental
3er Golpe Especial - Touch of Death;195,2;62,6;elemental
Ataque Especial Ex - Mountainous Pulse Strike;769,1;386,0;elemental
Asistencia Rapida - Lift Your Gaze to Good Fortune;184,1;69,0;elemental
Asistencia Defensiva Ligera - Intimidating Presence;0,0;338,4;elemental
Asistencia Defensiva Pesada - Intimidating Presence;0,0;402,6;elemental
Asistencia Defensiva en Cadena - Intimidating Presence;0,0;163,4;elemental
Asistencia Seguimiento - Ride the Momentum;675,1;440,9;elemental
Dash - Sizzling Oil Supreme;167,0;62,6;elemental
Contraataque - Moving Mountains and Seas;439,2;288,5;elemental
Ataque en Cadena - Anointed with Wok Steam;1264,8;351,0;elemental
Definitiva - A Feast Fit for an Emperor!;3255,9;147,9;elemental
