Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Load Up and Roll Out;118,4;44,9;elemental
2do Basico - Load Up and Roll Out;158,0;97,5;elemental
3er Basico - Load Up and Roll Out;300,8;183,5;elemental
4to Basico - Load Up and Roll Out;641,8;378,7;elemental
Ataque Especial - Tire Spin;543,4;408,1;elemental
Ataque Especial (Carga Nivel 1) - One Trillion Tons;186,9;140,7;elemental
Ataque Especial (Carga Nivel 2) - One Trillion Tons;206,8;155,1;elemental
Ataque Especial (Carga Nivel 3) - One Trillion Tons;470,4;352,7;elemental
Ataque Especial Ex (Cada Giro) - Engine Spin;187,6;82,3;elemental
Ataque Especial Ex - Really Heavy;1226,7;595,9;elemental
Asistencia Rapida - Brake Tap;260,9;196,0;elemental
Asistencia Defensiva Ligera - Emergency Brake;0,0;371,0;elemental
Asistencia Defensiva Pesada - Emergency Brake;0,0;467,9;elemental
Asistencia Defensiva en Cadena - Emergency Brake;0,0;227,6;elemental
Asistencia Seguimiento - Overtaking Maneuver;802,0;528,0;elemental
Dash - Pedal to the Metal;180,3;68,2;elemental
Contraataque - Power Drift;538,5;345,5;elemental
Ataque en Cadena - Buckle Up;1304,6;380,9;elemental
Definitiva - Hold~ On~ Tight~;3321,4;493,3;elemental
