Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Swift Strike;72,0;42,8;elemental
2do Basico - Swift Strike;188,7;113,8;elemental
3er Basico - Swift Strike;335,9;201,2;elemental
Basico - Leaping Strike;270,3;163,0;elemental
Ataque Especial - Rending Claw;50,4;75,4;elemental
Ataque Especial (Sombra) - Rending Claw;93,6;44,4;elemental
Ataque Especial (Finishing) - Rending Claw;107,4;52,4;elemental
Ataque Especial Ex - Rending Claw - Flashstep;696,4;318,4;elemental
Asistencia Rapida - Contract - Bodyguard;157,5;117,9;elemental
Asistencia Seguimiento - Independent Pricing;615,1;398,4;elemental
Dash - First Strike Advantage;96,7;36,3;elemental
Contraataque - Relentless Retribution;404,2;268,5;elemental
Ataque en Cadena - Hey, Didn't Expect That, Right?;1068,7;203,3;elemental
Definitiva - Oh, Time to Play?;2788,6;1324,5;elemental
