Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Penultimate;94,5;35,7;normal
1er Basico (ALT) - Penultimate;221,4;83,8;normal
2do Basico - Penultimate;244,2;124,0;normal
3er Basico - Penultimate;35,2;29,0;normal
4to Basico - Penultimate;213,1;160,2;elemental
4to Basico (Reforzado) - Penultimate;469,8;308,1;elemental
Basico - Enchanted Blossoms;171,4;128,5;elemental
Basico (Rush Attack) - Enchanted Moonlit Blossoms;897,5;408,3;elemental
Basico (Finishing Move) - Enchanted Moonlit Blossoms;789,3;326,5;elemental
Ataque Especial - Sunlit Glory;125,1;94,3;elemental
Ataque Especial Ex - Moonlit Begonia;1206,7;667,6;elemental
Asistencia Rapida - Wind Through the Pines;268,1;201,0;elemental
Asistencia Defensiva Ligera - Graceful Embellishment;0,0;374,7;elemental
Asistencia Defensiva Pesada - Graceful Embellishment;0,0;457,2;elemental
Asistencia Defensiva en Cadena - Graceful Embellishment;0,0;193,2;elemental
Asistencia Seguimiento - Song of the Clear River;753,7;418,7;elemental
Dash - Breach;99,0;38,0;normal
Contraataque - Lingering Sentiments;568,9;286,1;elemental
Ataque en Cadena - Tranquil Serenade;1295,8;313,5;elemental
Definitiva - Eight Sounds of Ganzhou;3341,6;1646,0;elemental
