Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Chrysanthemum Wheel Dance;93,8;44,8;normal
2do Basico - Chrysanthemum Wheel Dance;248,4;124,7;normal
3er Basico - Chrysanthemum Wheel Dance;144,4;67,7;normal
4to Basico - Chrysanthemum Wheel Dance;717,2;339,8;elemental
Basico - Falling Petals - Slaughter;333,8;217,4;elemental
Basico - Falling Petals - Downfall First Form;1057,4;102,0;elemental
Basico - Falling Petals - Downfall Second Form;1979,4;253,5;elemental
Ataque Especial - Withered in Frost;96,1;71,9;elemental
Ataque Especial Ex - Raining Iron Petals;1367,6;880,5;elemental
Ataque Especial Ex - Raining Iron Petals - Away;37,1;14,7;elemental
Asistencia Rapida - Barrage of Raining Flowers;308,0;115,5;elemental
Asistencia Defensiva Ligera - Sprouting Barrier;0,0;407,7;elemental
Asistencia Defensiva Pesada - Sprouting Barrier;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Sprouting Barrier;0,0;250,4;elemental
Dash - Magnetic Wheel Dance;129,1;48,6;normal
Contraataque - Blossom Burst;640,2;382,5;elemental
Ataque en Cadena - Tempest of Frosty Petals;1469,0;443,8;elemental
Definitiva - Clockwork Garden - Bloom!;6500,2;894,0;elemental
