Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Making Rice Cakes;133,3;50,7;normal
2do Basico - Making Rice Cakes;433,0;282,6;normal
3er Basico - Making Rice Cakes;586,8;332,8;normal
1er Basico (Frosted Banner) - Making Rice Cakes;153,6;70,8;elemental
2do Basico (Frosted Banner) - Making Rice Cakes;457,3;191,3;elemental
3er Basico (Frosted Banner) - Making Rice Cakes;1022,9;395,3;elemental
1er Especial - Cooling Bento;57,0;42,7;elemental
Especial (Finishing Move) - Cooling Bento;200,2;150,7;elemental
Ataque Especial Ex (Consecutivo) - Fanning Mosquitoes;262,6;169,6;elemental
Ataque Especial Ex (Corriente de Aire) - Fanning Mosquitoes;204,4;131,9;elemental
Ataque Especial (Fly the Flag) - Rally!;500,9;413,7;elemental
Ataque Especial (Quick Fly the Flag) - Rally!;280,9;210,5;elemental
Ataque Especial (Lowering the Flag) - Rally!;490,3;368,2;elemental
Asistencia Rapida - A Set for Two;227,8;170,6;elemental
Asistencia Defensiva Ligera - Guarding Tactics;0,0;371,0;elemental
Asistencia Defensiva Pesada - Guarding Tactics;0,0;467,9;elemental
Asistencia Defensiva en Cadena - Guarding Tactics;0,0;227,6;elemental
Asistencia Seguimiento - Sweeping Strike;754,5;497,6;elemental
Dash - 50/50;153,7;58,2;normal
Dash (Frosted Banner) - 50/50;263,5;120,8;elemental
Contraataque - Away From My Snacks;494,8;320,1;elemental
Ataque en Cadena - Pudding Slash;1491,6;520,6;elemental
Definitiva - Jumbo Pudding Slash;3979,7;566,0;elemental
