Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Knight's Technique;100,9;60,8;elemental
2do Basico - Knight's Technique;136,2;85,4;elemental
3er Basico - Knight's Technique;109,5;72,2;elemental
4to Basico - Knight's Technique;412,8;246,0;elemental
Basico - Full-Throttle Starlight;2087,1;512,7;elemental
Ataque Especial - Drive Suppression;104,8;165,0;elemental
Ataque Especial - Run Wild;144,7;88,4;elemental
Ataque Especial Ex - Cool Wheelie;780,2;209,7;elemental
Ataque Especial Ex - High-Traction Wheels;1860,5;1193,6;elemental
Ataque Especial Ex - Rocking Footwork;1918,2;1236,5;elemental
Asistencia Rapida - Starlight - Power of Bonds;184,4;74,0;elemental
Asistencia Defensiva Ligera - Hero's Entrance;0,0;407,7;elemental
Asistencia Defensiva Pesada - Hero's Entrance;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Hero's Entrance;0,0;250,4;elemental
Asistencia Seguimiento - Villain's Exit;459,5;305,0;elemental
Dash - Starlight Retribution;90,2;36,0;elemental
Contraataque - Duel King;239,4;146,8;elemental
Contraataque - Afterfire Spin;397,8;280,5;elemental
Ataque en Cadena - Knight's Swagger;1326,2;394,2;elemental
Definitiva - Starlight Knight Flying Kick;3184,9;674,7;elemental
