Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Mischief Meteor Hammer;91,4;39,2;elemental
2do Basico - Mischief Meteor Hammer;367,9;169,1;elemental
3er Basico - Mischief Meteor Hammer;379,2;192;elemental
4to Basico - Mischief Meteor Hammer;848,1;189,7;elemental
5to Basico (Reforzado) - Celestial Overture;437,2;316,5;elemental
Ataque Especial - Star Shooter;113,6;85;elemental
Ataque Especial Ex - Bubblegum Barrage;1827,4;921,8;elemental
Ataque Especial Ex - Special Photography Technique;1656,4;903,7;elemental
Ataque Especial Ex - Special Photography Technique (Coordinado);1905;1040,3;elemental
Asistencia Rapida - Sonic Beatdown;146,4;110,1;elemental
Asistencia Defensiva Ligera - Stage Fright;0,0;481,3;elemental
Asistencia Defensiva Pesada - Stage Fright;0,0;608,7;elemental
Asistencia Defensiva en Cadena - Stage Fright;0,0;296,2;elemental
Asistencia Seguimiento - Jump Training;1071,4;708,2;elemental
Dash - Skyward Hammer;199,8;76,2;elemental
Contraataque - Delusion Strikeout;637,8;410,6;elemental
Ataque en Cadena - Don't Mess With the Cat;1623,1;438,9;elemental
Definitiva - Smash It All!;4182;559,8;elemental
