Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Dancing Fans;103,4;35,7;elemental
2do Basico - Dancing Fans;98,4;35,6;elemental
3er Basico - Dancing Fans;338,5;121,2;elemental
4to Basico - Dancing Fans;252,1;94,8;elemental
5to Basico - Dancing Fans;459,5;169,9;elemental
Ataque Especial - Wind Shear - Purging Surge;118,0;74,9;elemental
Ataque Especial Ex - Wind Shear - Purifying Rise;881,6;454,3;elemental
Ataque Especial Ex - Wind Shear - Triple Deathblow;1451,2;773,7;elemental
Ataque Especial Ex - Wind Shear - Eye of the Storm;433,4;275,8;elemental
Sweeping Cyclone;78,6;124,3;elemental
Condensed Cyclone;65,5;206,8;elemental
Asistencia Rapida - Emergency Protocol;408,4;130,2;elemental
Asistencia Defensiva Ligera - Judicious Intervention;0,0;407,0;elemental
Asistencia Defensiva Pesada - Judicious Intervention;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Judicious Intervention;0,0;250,4;elemental
Asistencia Seguimiento - Negotiation Techniques;1066,2;595,8;elemental
Dash - Gale Step;199,8;64,2;elemental
Contraataque - Cloudrend;789,8;424,3;elemental
Ataque en Cadena - Thousandfold Spiral;1601,2;358,3;elemental
Definitiva - Heed the Tempest;4377,3;572,7;elemental
