Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Feathered Strike;68,2;64,4;normal
2do Basico - Feathered Strike;48,4;42,4;normal
3er Basico - Feathered Strike;153,9;123,6;normal
4to Basico - Feathered Strike;257,1;191,0;elemental
Basico - Noblewoman - Waltz;96,2;55,9;elemental
Basico - Fluttering Frock - Suspension;160,5;94,3;elemental
Basico - Featherbloom;440,0;0,0;elemental
Ataque Especial - Song of Silver Wings;114,1;85,5;elemental
Ataque Especial Ex - Violet Requiem;1185,5;727,9;elemental
Asistencia Rapida - Frostwing Guard;195,2;74,0;elemental
Asistencia Defensiva Ligera - Silver Umbrella Formation;0,0;407,7;elemental
Asistencia Defensiva Pesada - Silver Umbrella Formation;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Silver Umbrella Formation;0,0;250,4;elemental
Asistencia Seguimiento - Featherblade Execution;747,9;488,1;elemental
Dash - Silver Thorned Melody;100,2;38,0;normal
Contraataque - Wingblade Reverb;472,9;311,8;elemental
Ataque en Cadena - Chorus of Celestial Wings;1317,8;330,0;elemental
Definitiva - Soaring Bird's Song;3374,2;374,8;elemental
