Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico (Jougen) - Jougen;113,8;42,1;normal
2do Basico (Jougen) - Jougen;199,8;102,2;normal
3er Basico (Jougen) - Jougen;226,4;104,6;normal
4to Basico (Jougen) - Jougen;254,2;117,2;elemental
5to Basico (Jougen) - Jougen;474,5;217,8;elemental
1er Basico (Kagen) - Kagen;226,4;84,1;normal
2do Basico (Kagen) - Kagen;259,0;140,4;normal
3er Basico (Kagen) - Kagen;146,5;67,7;normal
4to Basico (Kagen) - Kagen;215,5;100,2;elemental
5to Basico (Kagen) - Kagen;544,6;250,3;elemental
Ataque Especial - Ruten;235,1;159,6;elemental
Ataque Especial Ex (Estocada) - Gekka Ruten;327,7;190,9;elemental
Ataque Especial Ex (Descendente) - Gekka Ruten;756,2;164,6;elemental
Ataque Especial Ex (Adicional) - Gekka Ruten;3200,0;0,0;elemental
Asistencia Rapida - Blade of Elegance;188,2;127,1;elemental
Asistencia Defensiva Ligera - Radiant Reversal;0,0;366,3;elemental
Asistencia Defensiva Pesada - Radiant Reversal;0,0;463,7;elemental
Asistencia Defensiva en Cadena - Radiant Reversal;0,0;226,1;elemental
Asistencia Seguimiento - Weeping Willow Stab;815,2;481,2;elemental
Dash - Fleeting Flight;101,0;68,5;normal
Contraataque - Rapid Retaliation;463,7;275,6;elemental
Ataque en Cadena - Celestial Harmony;1187,1;268,5;elemental
Definitiva - Raiei Tenge;3024,3;147,0;elemental
Definitiva (Adicional) - Raiei Tenge;3200,0;147,0;elemental
