Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Swiftedge;159,7;40,8;elemental
2do Basico - Swiftedge;488,3;117,1;elemental
3er Basico - Swiftedge;250,0;54,1;elemental
4to Basico - Swiftedge;736,5;161,2;elemental
Basico (Por Hoja) - Cloudstream Sword Will;33,5;7,9;elemental
1er Basico (Enlightened) - Splitting Currents;225,9;54,5;elemental
2do Basico (Enlightened) - Splitting Currents;312,1;74,8;elemental
3er Basico (Enlightened) - Splitting Currents;433,3;104,0;elemental
Basico (Enlightened) - Skyward Ascent;182,3;54,5;elemental
Basico (Enlightened) - Sunderlight Maximum;1209,8;115,5;elemental
1er Basico (Enlightened) - Sunderlight;241,7;51,6;elemental
2do Basico (Enlightened) - Sunderlight;313,8;66,0;elemental
Basico (Con Sword Force) - Sunderlight Annihilation;1783,3;87,5;elemental
Basico (Sin Sword Force) - Sunderlight Annihilation;320,5;68,1;elemental
Ataque Especial - Guiding Tides;197,9;37,5;elemental
Especial (Perfect Dodge) - Guiding Tides;632,7;199,2;elemental
Ataque Especial Ex - Gale Suppression;2357,6;510,6;elemental
Ataque Especial (Enlightened) - Clean Exit;142,5;26,3;elemental
Especial Ex (1 Sword Force) - Soaring Light;352,7;27,2;elemental
Especial Ex (6 Sword Force) - Soaring Light;2116,2;163,2;elemental
Ataque Especial Ex (Enlightened) - Return to Dust;2322,7;209,8;elemental
Habilidad de Entrada - Illuminating Darkness;800,8;181,5;elemental
Asistencia Rapida - Support Guard;161,9;48,2;elemental
Asistencia Seguimiento - Cease Hostility;828,4;210,4;elemental
Asistencia Defensiva Ligera - When I Return;0,0;293,2;elemental
Asistencia Defensiva Pesada - When I Return;0,0;311,7;elemental
Asistencia Defensiva en Cadena - When I Return;0,0;179,7;elemental
Asistencia Rapida (Enlightened) - Tactical Support;135,5;50,7;elemental
Asistencia Seguimiento (Enlightened) - Unification;860,1;219,7;elemental
Dash - Phantasm Dash;210,6;31,7;elemental
Contraataque - Swallow Strike;692,8;176,8;elemental
Ataque en Cadena - Smite the Wicked;1743,9;272,8;elemental
Definitiva - Chasing Storms;3850,0;82,5;elemental
Ataque en Cadena (Enlightened) - Lure Thunder;1817,2;206,8;elemental
Definitiva (Enlightened) - Cleaving Heavens;6168,7;227,2;elemental
