Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Crushing Strike;122,3;89,1;elemental
1er Basico (ALT) - Crushing Strike;125,1;91,9;elemental
2do Basico - Crushing Strike;172,9;131,3;elemental
3er Basico - Crushing Strike;415,7;256,3;elemental
Basico Cargado Nivel 1 - Frostbite Embrace;323,1;223,0;elemental
Basico Cargado Nivel 2 - Frostbite Embrace;508,2;394,4;elemental
Basico Cargado Nivel 3 Smash - Frostbite Embrace;692,4;427,2;elemental
Basico Cargado Nivel 3 Spin - Frostbite Embrace;472,3;266,9;elemental
Ataque Especial - Cease Thoughts;79,2;74,8;elemental
Ataque Especial - Surging Cold;168,4;157,4;elemental
Ataque Ex - Frost Coil;1020,6;771,0;elemental
Ataque Ex - Glacial Crush;2015,2;1052,7;elemental
Ataque Ex Adicional - Icy Tentacle;158,4;0,0;elemental
Asistencia Rapida - Frostshock Reinforcement;164,7;77,8;elemental
Asistencia Defensiva Ligera - Flashquake Rejection;0,0;407,7;elemental
Asistencia Defensiva Pesada - Flashquake Rejection;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Flashquake Rejection;0,0;250,4;elemental
Asistencia Seguimiento - Glacial Onslaught;626,9;513,5;elemental
Dash - Frostbloom Impact;142,0;67,2;elemental
Contraataque - Icehaul Reverb;371,2;305,9;elemental
Ataque en Cadena - Frostbound Oath;1145,8;415,5;elemental
Ataque en Cadena (Ether Veil) - Frostbound Oath;1260,2;415,5;elemental
Definitiva - Crossing the River of Regret;3044,5;292,2;elemental
