Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Cirrus Strike;92,0;42,9;elemental
2do Basico - Cirrus Strike;131,5;104,1;elemental
3er Basico - Cirrus Strike;175,1;128,7;elemental
4to Basico - Cirrus Strike;210,4;167,9;elemental
5to Basico - Cirrus Strike;228,1;159,6;elemental
Basico - Ink‐Veil Cloud Coalescence;470,1;440,8;elemental
Basico - Auric Array;611,0;440,8;elemental
Basico - Qingming Eruption;221,7;160,2;elemental
Ataque Especial - Shadow-Ignition;104,9;98,1;elemental
Ataque Especial Ex - Ink Manifestation;600,6;259,8;elemental
Ataque Especial Ex (Carga Completa) - Ink Manifestation;899,8;374,1;elemental
Ataque Especial Ex - Celestial Cloud Blitz - Break;741,3;441,8;elemental
Ataque Especial Ex - Qingming Eruption - Break;853,2;428,3;elemental
Ataque Especial Ex - Cloud-Shaper;1343,9;720,9;elemental
Ataque Especial Ex - Ashen Ink Becomes Shadows;468,6;213,6;elemental
Asistencia Rapida - Cloudstream Shadow;202,4;95,2;elemental
Asistencia Defensiva Ligera - Clear Sky Surge;0,0;407,7;elemental
Asistencia Defensiva Pesada - Clear Sky Surge;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Clear Sky Surge;0,0;250,4;elemental
Asistencia Seguimiento - Celestial Cloud Blitz;594,0;484,6;elemental
Dash - Skybreaker;100,5;47,7;elemental
Contraataque - Banishing Blow;439,6;355,3;elemental
Definitiva - Qingming Skyshade;3706,9;611,7;elemental
Definitiva - Endless Talisman Suppression;2932,5;374,8;elemental
