Habilidad;Multiplicador;Aturdimiento;Etiqueta_Dano
1er Basico - Tanuki Claws;76,2;66,0;elemental
2do Basico - Tanuki Claws;116,0;95,0;elemental
3er Basico - Tanuki Claws;132,0;99,0;elemental
4to Basico - Tanuki Claws;197,1;169,9;elemental
5to Basico - Tanuki Claws;329,1;246,1;elemental
Parada - Tanuki Cloak;0,0;250,4;elemental
Basico - Hard Candy Shot;264,0;132,0;aftershock
Basico - Sugarburst Sparkles;55,0;0,0;elemental
Basico (Max) - Sugarburst Sparkles;616,0;0,0;elemental
Basico (Coordinado) - Tanuki Helper;220,0;0,0;elemental
Basico (Auto-Attack) - Tanuki Helper;220,0;0,0;elemental
Ataque Especial - Gummy Bombardment;101,1;75,8;elemental
Ataque Especial Ex - Cavity Alert;842,3;632,2;elemental
Ataque Especial Ex - Cavity Alert, Right Now!;483,4;401,2;elemental
Asistencia Rapida - Dessert Time;246,1;92,3;elemental
Asistencia Defensiva Ligera - Replenish Your Fun;0,0;443,7;elemental
Asistencia Defensiva Pesada - Replenish Your Fun;0,0;514,4;elemental
Asistencia Defensiva en Cadena - Replenish Your Fun;0,0;250,4;elemental
Asistencia Seguimiento - We Have Cookies;589,1;377,9;elemental
Asistencia Seguimiento - Stuffed Hard Candy Shot;927,8;613,3;elemental
Dash - You're Outta Luck!;140,2;52,5;elemental
Contraataque - Time for Payback~;554,1;358,3;elemental
Ataque en Cadena - Prank Assault;1198,2;349,5;elemental
Definitiva - Surrender or Suffer the Mischief;2886,4;429,0;elemental
