slot;nombre;stat;tipo;valor
4;Puntos_Vida;Puntos_Vida;porcentual;30
4;Ataque;Ataque;porcentual;30
4;Defensa;Defensa;porcentual;48
4;Maestría_Anomalía;Maestría_Anomalía;plano;92
4;Daño_crítico;Daño_crítico;plano;48
4;Probabilidad_crítico;Probabilidad_crítico;plano;24
5;Puntos_Vida;Puntos_Vida;porcentual;30
5;Ataque;Ataque;porcentual;30
5;Defensa;Defensa;porcentual;48
5;Tasa_de_Perforación;Tasa_de_Perforación;plano;24
5;Daño_elemental;Daño_elemental;plano;30
6;Puntos_Vida;Puntos_Vida;porcentual;30
6;Ataque;Ataque;porcentual;30
6;Defensa;Defensa;porcentual;48
6;Impacto;Impacto;porcentual;18
6;Tasa_de_Anomalía;Tasa_de_Anomalía;porcentual;30
6;Recuperación_energía;Recuperación_energía;porcentual;60
1;Puntos_Vida;Puntos_Vida;plano;2200
2;Ataque;Ataque;plano;316
3;Defensa;Defensa;plano;184
