Nombre W-Engine;Ataque wengine;Ataque;Recuperación de energía;Maestría de Anomalía del agente;Tasa de anomalía;Probabilidad de crítico;Daño crítico;Tasa de perforación;Puntos de vida;Defensa;Impacto;agente;tipow;pasiva
(Lunar) Decrescent;475;25;0;0;0;0;0;0;0;0;0;Ninguno;Atacante;Al ejecutar una técnica en cadena o una técnica definitiva, aumenta el daño infligido por el portador en un 15/17.5/20/22.5/25% durante 6s.
(Lunar) Noviluna;475;0;0;0;0;16;0;0;0;0;0;Ninguno;Atacante;Al ejecutar una técnica especial EX, el portador recupera 3/3.5/4/4.5/5ptos. de energía. Puede activarse una vez cada 12s.
(Lunar) Pleniluna;475;25;0;0;0;0;0;0;0;0;0;Ninguno;Atacante;Aumenta el daño infligido por ataque normal, ataque rápido y contraataque en un 12/14/16/18/20%.
(Magnetic Storm) Alpha;475;25;0;0;0;0;0;0;0;0;0;Ninguno;Anomalo;Al acumular Anomalía de Atributo, aumenta la Tasa de Anomalía del portador en 25/28/32/36/40ptos. durante 10s. Puede activarse 1 vez cada 20s.
(Magnetic Storm) Bravo;475;0;0;60;0;0;0;0;0;0;0;Ninguno;Anomalo;Al acumular Anomalía de Atributo, aumenta la Maestría de Anomalía del portador en 25/28/32/36/40ptos. durante 10s. Puede activarse una vez cada 20s.
(Magnetic Storm) Charlie;475;0;0;0;0;0;0;0;16;0;0;0;Anomalo;Cuando cualquier miembro del equipo provoque una Anomalía de Atributo sobre el enemigo, el portador recupera 3.5/4/4.5/5/5.5ptos. de energía. Puede activarse una vez cada 12s.
(Reverb) Mark I;475;25;0;0;0;0;0;0;0;0;0;Ninguno;Soporte;Al ejecutar una técnica especial EX, aumenta el Impacto de todos los miembros del equipo en un 8/9/10/11/12% durante 10s. Puede activarse una vez cada 20s. Este efecto no se acumula con otros efectos del mismo nombre.
(Reverb) Mark II;475;0;40;0;0;0;0;0;0;0;0;Ninguno;Soporte;Al ejecutar una técnica especial EX o una técnica en cadena, aumenta la Tasa de Anomalía de todos los miembros del equipo en 10/12/13/15/16 ptos. durante 10s. Puede activarse 1 vez cada 20s. Este efecto no se acumula con otros efectos del mismo nombre.
(Reverb) Mark III;475;0;0;0;0;0;0;0;20;0;0;Ninguno;Soporte;Al ejecutar una técnica en cadena o una técnica definitiva, aumenta el Ataque de todos los miembros del equipo en 8/9/10/11/12% durante 10s. Puede activarse una vez cada 20 s. Este efecto no se acumula con otros efectos del mismo nombre.
(Vortex) Arrow;475;0;0;0;0;0;0;0;0;0;18;Ninguno;Aturdidor;Al golpear a un enemigo, aumenta el Aturdimiento provocado por el portador al objetivo en 8/9/10/11/12%.
(Vortex) Hatchet;475;0;40;0;0;0;0;0;0;0;0;Ninguno;Aturdidor;Al entrar en combate o al sustituir a un agente activo, aumenta el Impacto del portador en 9/10/11/12/13% durante 10s. Puede activarse una vez cada 20s.
(Vortex) Revolver;475;20;0;0;0;0;0;0;0;0;0;Ninguno;Aturdidor;Aumenta el Aturdimiento provocado por técnicas especiales EX en 10/11.5/13/14.5/16%.
