nombre_arma,descripcion_pasiva
(Lunar) Decrescent,"Launching a Chain Attack or Ultimate increases the equipper's DMG by 15/17.5/20/22.5/25% for 6s."
(Lunar) Noviluna,"Launching an EX Special Attack generates 3/3.5/4/4.5/5 Energy for the equipper. This effect can trigger once every 12s."
(Lunar) Pleniluna,"Basic Attack, Dash Attack, and Dodge Counter DMG increase by 12/14/16/18/20%."
(Magnetic Storm) Alpha,"Accumulating Anomaly Buildup increases the equipper's Anomaly Mastery by 25/28/32/36/40 for 10s. This effect can trigger once every 20s."
(Magnetic Storm) Bravo,"Accumulating Anomaly Buildup increases the equipper's Anomaly Proficiency by 25/28/32/36/40 for 10s. This effect can only be triggered once every 20s."
(Magnetic Storm) Charlie,"Whenever a squad member inflicts an Attribute Anomaly on an enemy, the equipper generates 3.5/4/4.5/5/5.5 Energy. This effect can trigger once every 12s."
(Reverb) Mark I,"Launching an EX Special Attack increases all squad members' Impact by 8/9/10/11/12% for 10s. This effect can trigger once every 20s. Passive effects of the same name do not stack."
(Reverb) Mark II,"Launching an EX Special Attack or Chain Attack increases all squad members' Anomaly Mastery and Anomaly Proficiency by 10/12/13/15/16 for 10s. This effect can trigger once every 20s. Passive effects of the same name do not stack."
(Reverb) Mark III,"Launching a Chain Attack or Ultimate increases all squad members' ATK by 8/9/10/11/12% for 10s. This effect can trigger once every 20s. Passive effects of the same name do not stack."
(Vortex) Arrow,"The equipper's attacks inflict 8/9/10/11/12% more Daze on their main target."
(Vortex) Hatchet,"Upon entering combat or switching in, the equipper's Impact increases by 9/10/11/12/13% for 10s. This effect can trigger once every 20s."
(Vortex) Revolver,"EX Special Attacks inflict 10/11.5/13/14.5/16% more Daze."
(Cinder) Cobalt,"Upon entering combat or switching in, the equipper's ATK increases by 7.2/8.2/9.3/10.4/11.5% for 10s. This effect can trigger once every 20s."
(Identity) Base,"When attacked, the equipper's DEF increases by 20/23/26/29/32% for 8s."
(Identity) Inflection,"When attacked, reduces the attacker's DMG by 6/7/8/9/10% for 12s."
Drill Rig - Red Axis,"When launching an EX Special Attack or Chain Attack, Electric DMG from Basic Attacks and Dash Attacks increases by 50/57.5/65/72.5/80% for 10s. This effect can trigger once every 15s."
Housekeeper,"While off-field, Energy Regen increases by 0.45/0.52/0.58/0.65/0.72 per second. When an EX Special Attack hits an enemy, the equipper's Physical DMG increases by 3/3.5/4/4.4/4.8%, stacking up to 15 times and lasting 1s. Retriggering refreshes duration."
Starlight Engine Replica,"Increases the equipper's Physical DMG by 36/41/46.5/52/57.5% for 8s upon hitting an enemy at least 6 meters away with a Basic Attack or Dash Attack."
Roaring Ride,"When EX Special Attack hits an enemy, one of three possible effects is randomly triggered for 5 seconds. This effect can trigger once every 0.3s. The same types of effects cannot stack. Repeated triggers reset the duration allowing several effects to be active at once: *increases the equipper's ATK by 8/9.2/10.4/11.6/12.8%,*increases the equipper's Anomaly Proficiency by 40/46/52/58/64,*increases the equipper's Anomaly Buildup Rate by 25/28/32/36/40%."
The Vault,"Dealing Ether DMG using an EX Special Attack, Chain Attack, or Ultimate increases all squad members' DMG against the target by 15/17.5/20/22/24% and increases the equipper's Energy Regen by 0.5/0.58/0.65/0.72/0.8 per second for 2s. Passive effects of the same name do not stack."
Bashful Demon,"Increases Ice DMG by 15/17.5/20/22/24%. When launching an EX Special Attack, all squad members' ATK increases by 2/2.3/2.6/2.9/3.2% for 12s, stacking up to 4 times. Retriggering refreshes duration. Passive effects of the same name do not stack."
Kaboom the Cannon,"When any friendly unit in the squad attacks and hits an enemy, all friendly units' ATK increases by 2.5/2.8/3.2/3.6/4% for 8s, stacking up to 4 times. The duration of each stack is calculated separately, and each friendly unit can provide 1 stack of the buff. Passive effects of the same name do not stack."
